date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:21:03	107404/107404	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Aug%202022%2004:21:12%20GMT	https://boshcare.ru/	D:/OSPanel/domains/jekyll2/jekyll/boshcare.ru/index.html	(from )
07:21:03	334/334	---MCZ	200	added ('OK')	text/plain	etag:W/%2262472576-5e6%22	https://boshcare.ru/robots.txt		(from )
07:21:04	39694/39694	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Aug%202022%2004:21:12%20GMT	http://www.google.com/	D:/OSPanel/domains/jekyll2/jekyll/www.google.com/index.html	(from https://boshcare.ru/)
07:21:04	88932/88932	---MCZ	200	added ('OK')	text/css	etag:W/%2262ce462b-15b64%22	https://boshcare.ru/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1	D:/OSPanel/domains/jekyll2/jekyll/boshcare.ru/wp-includes/css/dist/block-library/style.min37ad.css	(from https://boshcare.ru/)
07:21:04	86547/86547	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Aug%202022%2004:21:12%20GMT	http://s.w.org/	D:/OSPanel/domains/jekyll2/jekyll/s.w.org/index.html	(from https://boshcare.ru/)
07:21:04	2731/2731	---MCZ	200	added ('OK')	text/css	etag:W/%2262f45c81-aab%22	https://boshcare.ru/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.2	D:/OSPanel/domains/jekyll2/jekyll/boshcare.ru/wp-content/plugins/contact-form-7/includes/css/styles4c7e.css	(from https://boshcare.ru/)
07:21:04	89521/89521	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261c71d50-15db1%22	https://boshcare.ru/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	D:/OSPanel/domains/jekyll2/jekyll/boshcare.ru/wp-includes/js/jquery/jquery.minaf6c.js	(from https://boshcare.ru/)
07:21:04	11224/11224	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261c71d50-2bd8%22	https://boshcare.ru/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	D:/OSPanel/domains/jekyll2/jekyll/boshcare.ru/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://boshcare.ru/)
07:21:05	22149/22149	---MCZ	200	added ('OK')	application/json	date:Thu,%2011%20Aug%202022%2004:21:13%20GMT	https://boshcare.ru/wp-json/wp/v2/pages/2	D:/OSPanel/domains/jekyll2/jekyll/boshcare.ru/wp-json/wp/v2/pages/2.json	(from https://boshcare.ru/)
07:21:05	4627/4627	---MCZ	200	added ('OK')	application/json	date:Thu,%2011%20Aug%202022%2004:21:14%20GMT	https://boshcare.ru/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fboshcare.ru%2F	D:/OSPanel/domains/jekyll2/jekyll/boshcare.ru/wp-json/oembed/1.0/embedaa8d.json	(from https://boshcare.ru/)
